iter	Passed	Remaining
831	3431	692
832	3435	688
833	3439	684
834	3442	680
835	3446	676
836	3449	671
837	3453	667
838	3456	663
839	3460	659
840	3464	654
841	3467	650
842	3471	646
843	3474	642
844	3477	637
845	3480	633
846	3484	629
847	3488	625
848	3491	621
849	3495	616
850	3498	612
851	3502	608
852	3505	604
853	3508	599
854	3512	595
855	3516	591
856	3519	587
857	3523	583
858	3526	578
859	3530	574
860	3534	570
861	3537	566
862	3541	562
863	3544	558
864	3549	553
865	3552	549
866	3555	545
867	3559	541
868	3562	537
869	3566	532
870	3569	528
871	3573	524
872	3576	520
873	3580	516
874	3583	511
875	3587	507
876	3590	503
877	3593	499
878	3597	495
879	3601	491
880	3604	486
881	3608	482
882	3612	478
883	3615	474
884	3618	470
885	3622	466
886	3625	461
887	3629	457
888	3633	453
889	3636	449
890	3640	445
891	3644	441
892	3647	437
893	3651	432
894	3654	428
895	3659	424
896	3662	420
897	3666	416
898	3670	412
899	3675	408
900	3680	404
901	3684	400
902	3688	396
903	3693	392
904	3697	388
905	3702	384
906	3706	380
907	3711	376
908	3715	371
909	3720	367
910	3725	363
911	3730	359
912	3734	355
913	3739	351
914	3743	347
915	3747	343
916	3751	339
917	3756	335
918	3761	331
919	3765	327
920	3771	323
921	3775	319
922	3779	315
923	3784	311
924	3789	307
925	3794	303
926	3798	299
927	3803	295
928	3807	290
929	3811	286
930	3815	282
931	3820	278
932	3826	274
933	3831	270
934	3835	266
935	3839	262
936	3843	258
937	3848	254
938	3852	250
939	3856	246
940	3860	242
941	3865	238
942	3869	233
943	3873	229
944	3876	225
945	3882	221
946	3886	217
947	3889	213
948	3893	209
949	3899	205
950	3903	201
951	3907	196
952	3910	192
953	3915	188
954	3919	184
955	3923	180
956	3929	176
957	3934	172
958	3937	168
959	3942	164
960	3946	160
961	3950	156
962	3954	151
963	3960	147
964	3964	143
965	3968	139
966	3972	135
967	3977	131
968	3981	127
969	3986	123
970	3990	119
971	3994	115
972	3998	110
973	4002	106
974	4007	102
975	4010	98
976	4014	94
977	4018	90
978	4022	86
979	4026	82
980	4030	78
981	4034	73
982	4038	69
983	4043	65
984	4047	61
985	4050	57
986	4055	53
987	4059	49
988	4062	45
989	4066	41
990	4070	36
991	4074	32
992	4077	28
993	4081	24
994	4085	20
995	4090	16
996	4094	12
997	4098	8
998	4103	4
999	4107	0
